firm_name,sec_number,aum,employees,city,state,website,contact_name,contact_email,phone,source
"JCP INVESTMENT MANAGEMENT, LLC",801-115037,"$252,640,784",6,HOUSTON,TX,HTTPS://WWW.JCPINV.COM,Executive Officer,N/A,(713) 333-5540,SEC_IAPD
"LIGHT FINANCIAL SERVICES, INC.",801-123619,"$145,111,574",2,FARGO,ND,https://www.lightfinancialservices.com/,Chief Compliance Officer,N/A,701.356.5106,SEC_IAPD
"LIGHT FINANCIAL SERVICES, INC.",801-123619,"$145,111,574",2,FARGO,ND,https://www.lightfinancialservices.com/,Executive Officer,N/A,701.356.5106,SEC_IAPD
"BROOKLINE WEALTH, LLC",801-130965,"$113,074,270",6,AUSTIN,TX,https://brooklinewealth.com/,Chief Compliance Officer,hello@brooklinewealth.com,512-222-9169,FIRM_WEBSITE
"BROOKLINE WEALTH, LLC",801-130965,"$113,074,270",6,AUSTIN,TX,https://brooklinewealth.com/,Executive Officer,hello@brooklinewealth.com,512-222-9169,FIRM_WEBSITE
WATERFORD CAPITAL INVESTMENT ADVISORY SERVICES LLC,801-108907,"$171,417,575",3,ADDISON,TX,HTTP://WWW.WATERFORDCAPITAL.COM,Chief Compliance Officer,N/A,214-363-6920,SEC_IAPD
WATERFORD CAPITAL INVESTMENT ADVISORY SERVICES LLC,801-108907,"$171,417,575",3,ADDISON,TX,HTTP://WWW.WATERFORDCAPITAL.COM,Executive Officer,N/A,214-363-6920,SEC_IAPD
COLUMBIA RIVER ADVISORS,801-71970,"$189,572,914",6,TACOMA,WA,HTTP://WWW.INVESTCRA.COM,Chief Compliance Officer,N/A,(253) 589-1401,SEC_IAPD
COLUMBIA RIVER ADVISORS,801-71970,"$189,572,914",6,TACOMA,WA,HTTP://WWW.INVESTCRA.COM,Executive Officer,N/A,(253) 589-1401,SEC_IAPD
"PRIVATE CLIENT ADVISOR GROUP, LLC",801-134899,"$110,213,692",5,PALM CITY,FL,https://www.adb-financial.com,Chief Compliance Officer,N/A,516-241-3934,SEC_IAPD
"PRIVATE CLIENT ADVISOR GROUP, LLC",801-134899,"$110,213,692",5,PALM CITY,FL,https://www.adb-financial.com,Executive Officer,N/A,516-241-3934,SEC_IAPD
PKS INVESTMENT ADVISORS LLC,801-96235,"$242,395,217",9,SALISBURY,MD,HTTP://WWW.PKSADVISORS.COM,Chief Compliance Officer,pksinvestmentadvisors@pkscpa.com,410-546-5600,FIRM_WEBSITE
PKS INVESTMENT ADVISORS LLC,801-96235,"$242,395,217",9,SALISBURY,MD,HTTP://WWW.PKSADVISORS.COM,Executive Officer,pksinvestmentadvisors@pkscpa.com,410-546-5600,FIRM_WEBSITE
"PROSPECT CAPITAL ADVISORS, LLC",801-100384,"$288,032,681",4,SAUSALITO,CA,N/A,Chief Compliance Officer,N/A,(415) 331-3590,SEC_IAPD
"PROSPECT CAPITAL ADVISORS, LLC",801-100384,"$288,032,681",4,SAUSALITO,CA,N/A,Executive Officer,N/A,(415) 331-3590,SEC_IAPD
"NYES LEDGE CAPITAL MANAGEMENT, LLC",801-73382,"$265,924,000",4,BOSTON,MA,HTTPS://WWW.NYESLEDGE.COM,Chief Compliance Officer,bmccarthy@nyesledge.com,617-350-5080,FIRM_WEBSITE
"NYES LEDGE CAPITAL MANAGEMENT, LLC",801-73382,"$265,924,000",4,BOSTON,MA,HTTPS://WWW.NYESLEDGE.COM,Executive Officer,bmccarthy@nyesledge.com,617-350-5080,FIRM_WEBSITE
HINSDALE ASSOCIATES,801-18789,"$109,728,381",2,HINSDALE,IL,HTTPS://WWW.HINSDALEASSOCIATES.COM,Chief Compliance Officer,N/A,630-325-7100,SEC_IAPD
HINSDALE ASSOCIATES,801-18789,"$109,728,381",2,HINSDALE,IL,HTTPS://WWW.HINSDALEASSOCIATES.COM,Executive Officer,N/A,630-325-7100,SEC_IAPD
"MUTUAL TRUST ASSET MGMT., INC.",801-111062,"$57,396,568",7,TAMPA,FL,N/A,Chief Compliance Officer,N/A,813-264-0440,SEC_IAPD
"MUTUAL TRUST ASSET MGMT., INC.",801-111062,"$57,396,568",7,TAMPA,FL,N/A,Executive Officer,N/A,813-264-0440,SEC_IAPD
RANSOM ADVISORY,801-123386,"$265,484,625",1,PROVIDENCE,RI,N/A,Chief Compliance Officer,N/A,(401) 601-0185,SEC_IAPD
RANSOM ADVISORY,801-123386,"$265,484,625",1,PROVIDENCE,RI,N/A,Executive Officer,N/A,(401) 601-0185,SEC_IAPD
HUNTER LEWIS LLC,801-117308,"$226,031,370",7,CROZET,VA,https://www.hunterlewisllc.com/,Chief Compliance Officer,info@hunterlewisllc.com,434-996-0370,FIRM_WEBSITE
HUNTER LEWIS LLC,801-117308,"$226,031,370",7,CROZET,VA,https://www.hunterlewisllc.com/,Executive Officer,info@hunterlewisllc.com,434-996-0370,FIRM_WEBSITE
